PeakCoordinates,log2 Fold Change MR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change MR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
5:161321129-161321577,3.29,3.44E-10,4.340E-09,ENSRNOG00000054558,AABR07050336.1,201365,,10:55685504-55686193,2.03,1.21E-08,1.53E-07,ENSRNOG00000007387,Per1,857
1:279231787-279232290,2.75,3.65E-10,4.570E-09,ENSRNOG00000017438,Gfra1,0,,16:79708319-79708861,3.5,1.32E-08,1.64E-07,ENSRNOG00000012333,Kbtbd11,7328
13:70694177-70694543,4.17,4E-10,4.960E-09,ENSRNOG00000002680,Lamc1,0,,6:33653825-33654542,1.93,1.35E-08,1.67E-07,ENSRNOG00000021403,Rhob,34585
3:111523731-111524116,4.61,4.16E-10,5.090E-09,ENSRNOG00000005183,Rtf1,0,,12:16934485-16934853,5.06,1.45E-08,1.78E-07,ENSRNOG00000001277,Mafk,0
1:170571341-170571701,4.5,4.15E-10,5.090E-09,ENSRNOG00000018766,Rrp8,2648,,9:19527546-19528005,4.21,1.47E-08,1.78E-07,ENSRNOG00000010350,Rcan2,0
10:37371734-37372265,2.87,4.21E-10,5.120E-09,ENSRNOG00000055800,U6,46688,,2:93674970-93675405,5.11,1.46E-08,1.78E-07,ENSRNOG00000010482,Impa1,0
10:11115986-11116344,3.47,4.66E-10,5.630E-09,ENSRNOG00000004146,Coro7,0,,2:188683353-188683757,3.39,0.000000015,1.81E-07,ENSRNOG00000020621,Dcst1,0
4:99937359-99937788,4.25,6.72E-10,8.010E-09,ENSRNOG00000010284,St3gal5,0,,4:179304813-179305262,3.51,1.59E-08,1.91E-07,ENSRNOG00000015514,Bcat1,0
15:89926165-89926488,4.52,6.72E-10,8.010E-09,ENSRNOG00000049068,AABR07019120.1,69296,,1:15603917-15604304,3.5,0.000000018,2.15E-07,ENSRNOG00000031700,Map3k5,0
1:162723972-162724321,4.09,6.97E-10,8.250E-09,ENSRNOG00000060876,AC133383.1,8982,,5:72885635-72886261,2.14,1.84E-08,2.17E-07,ENSRNOG00000057406,AABR07048321.1,6077
1:247110558-247110996,4.19,7.08E-10,8.320E-09,ENSRNOG00000010967,Cdc37l1,0,,4:99937359-99937788,4.04,1.89E-08,2.22E-07,ENSRNOG00000010284,St3gal5,0
1:219078293-219078787,3.97,7.36E-10,8.600E-09,ENSRNOG00000016791,Chka,0,,8:52775939-52776508,2,2.07E-08,2.41E-07,ENSRNOG00000027730,Nxpe1,12342
1:32205901-32206363,2.15,8.1E-10,9.390E-09,ENSRNOG00000026501,Slc6a19,0,,20:7998742-7999314,3.53,2.19E-08,2.53E-07,ENSRNOG00000022523,Fkbp5,0
9:43945425-43945806,4.87,9.03E-10,1.030E-08,ENSRNOG00000017660,Inpp4a,0,,10:74722387-74722745,3.07,0.000000022,2.54E-07,ENSRNOG00000006661,Rad51c,0
18:76782677-76783094,3.33,8.96E-10,1.030E-08,ENSRNOG00000059215,Pqlc1,0,,1:176088625-176089106,2.61,2.25E-08,2.57E-07,ENSRNOG00000029082,RGD1566189,9501
10:29222375-29222902,2.42,9.51E-10,1.080E-08,ENSRNOG00000042335,Rn60_10_0291.1,23000,,8:64991157-64991709,3.02,2.53E-08,2.88E-07,ENSRNOG00000051221,Rn60_8_0647.2,0
6:76187902-76188419,4.07,1.06E-09,1.200E-08,ENSRNOG00000007114,Psma6,0,,3:156806099-156806608,2.51,2.59E-08,2.92E-07,ENSRNOG00000027988,Zhx3,28101
16:79708319-79708861,3.66,1.09E-09,1.220E-08,ENSRNOG00000012333,Kbtbd11,7328,,17:63750828-63751335,3.42,2.62E-08,2.94E-07,ENSRNOG00000015288,Dip2c,0
3:108794021-108794422,3.41,1.17E-09,1.300E-08,ENSRNOG00000005209,Spred1,813,,16:60785723-60786216,2.31,2.67E-08,2.97E-07,ENSRNOG00000061769,AABR07026044.1,6364
5:139328330-139328711,4.16,1.21E-09,1.340E-08,ENSRNOG00000032183,Scmh1,56718,,4:159131418-159131912,3.91,3.03E-08,3.35E-07,ENSRNOG00000019719,Kcna5,52416
18:39820618-39821023,4.43,1.26E-09,1.390E-08,ENSRNOG00000061296,SNORA17,24426,,1:165723727-165724325,2.28,3.05E-08,3.36E-07,ENSRNOG00000018873,Fam168a,126
1:186554157-186554664,3.73,1.3E-09,1.430E-08,ENSRNOG00000059173,SNORA17,56357,,1:32205901-32206363,2.04,3.17E-08,3.45E-07,ENSRNOG00000026501,Slc6a19,0
20:29527864-29528621,3.22,1.43E-09,1.560E-08,ENSRNOG00000000576,Anapc16,16008,,2:141792938-141793504,3.47,3.18E-08,3.45E-07,ENSRNOG00000058636,AABR07010589.1,70334
16:32093387-32093682,4.1,1.46E-09,1.580E-08,ENSRNOG00000010358,Sh3rf1,0,,1:219078293-219078787,3.64,0.000000033,3.56E-07,ENSRNOG00000016791,Chka,0
6:124701315-124701829,3.71,1.51E-09,1.630E-08,ENSRNOG00000004362,Rps6ka5,0,,19:59655928-59656438,2.46,3.47E-08,3.72E-07,ENSRNOG00000061610,AABR07044148.1,0
3:81507423-81507918,4.16,1.58E-09,1.690E-08,ENSRNOG00000007989,Chst1,0,,2:227167371-227167750,3,3.86E-08,4.12E-07,ENSRNOG00000014660,Usp53,6993
7:25264035-25264379,3.78,1.65E-09,1.750E-08,ENSRNOG00000008061,Nuak1,150372,,13:109389567-109389907,3.5,0.00000004,4.24E-07,ENSRNOG00000003767,Rps6kc1,0
3:164579698-164580210,3.9,1.67E-09,1.760E-08,ENSRNOG00000060501,AABR07054619.1,45731,,17:60765816-60766370,5.02,4.04E-08,4.26E-07,ENSRNOG00000058961,SNORA17,109294
6:27802096-27802643,3.23,1.74E-09,1.820E-08,ENSRNOG00000011394,Kif3c,0,,7:123070326-123070904,3.62,4.12E-08,4.31E-07,ENSRNOG00000050500,Tob2,8633
7:66962946-66963386,3.72,1.95E-09,2.040E-08,ENSRNOG00000004314,Ppm1h,0,,15:70357468-70358064,1.67,4.46E-08,4.65E-07,ENSRNOG00000008986,Diaph3,0
5:152573375-152573696,5.2,2.16E-09,2.230E-08,ENSRNOG00000016776,Extl1,62,,6:127562033-127562646,2.06,4.68E-08,4.84E-07,ENSRNOG00000037762,Serpina1f,2165
1:142034088-142034538,5.1,2.16E-09,2.230E-08,ENSRNOG00000056362,Ttll13,0,,7:59260961-59261436,3.68,4.99E-08,5.13E-07,ENSRNOG00000004483,Ptprr,0
10:82761874-82762301,3.1,2.22E-09,2.280E-08,ENSRNOG00000003897,Col1a1,0,,16:2845205-2845533,3.41,0.000000051,5.19E-07,ENSRNOG00000014363,Arhgef3,0
16:7784814-7785368,3.66,2.58E-09,2.630E-08,ENSRNOG00000019656,Btd,0,,20:48702754-48703315,1.9,5.08E-08,5.19E-07,ENSRNOG00000024221,Mettl24,0
4:159131418-159131912,4.2,2.73E-09,2.760E-08,ENSRNOG00000019719,Kcna5,52416,,7:109024337-109024907,5.06,5.24E-08,5.27E-07,ENSRNOG00000025140,Zfat,12881
14:11066191-11066902,2.44,2.86E-09,2.880E-08,ENSRNOG00000002258,Tmem150c,28261,,10:64162532-64162997,3.14,5.21E-08,5.27E-07,ENSRNOG00000025287,RGD1565611,11934
16:16694262-16694767,2.6,2.87E-09,2.880E-08,ENSRNOG00000051423,AABR07024790.1,65691,,6:44511150-44511596,3.47,0.000000053,5.30E-07,ENSRNOG00000052618,AABR07063740.1,72103
15:4139514-4140399,2.25,2.94E-09,2.920E-08,ENSRNOG00000027012,Usp54,0,,16:59784763-59785384,2.38,0.000000058,5.77E-07,ENSRNOG00000011407,Pragmin,63537
15:13358455-13358806,4.8,3.84E-09,3.780E-08,ENSRNOG00000009419,Ptprg,129849,,14:11066191-11066902,2.26,0.000000059,5.83E-07,ENSRNOG00000002258,Tmem150c,28261
1:15603917-15604304,3.69,3.85E-09,3.780E-08,ENSRNOG00000031700,Map3k5,0,,3:2703081-2703521,3.76,5.97E-08,5.87E-07,ENSRNOG00000028730,Lcn12,13013
3:124226954-124227655,2.61,4.05E-09,3.960E-08,ENSRNOG00000021256,Adra1d,81389,,3:2251776-2252109,4.38,6.23E-08,6.06E-07,ENSRNOG00000008190,LOC100911867,0
4:100372820-100373305,3.43,4.26E-09,4.140E-08,ENSRNOG00000013605,Sh2d6,791,,4:150289572-150289898,3.15,6.23E-08,6.06E-07,ENSRNOG00000042507,Rn60_4_2163.2,11956
3:165426798-165427120,3.41,4.41E-09,4.260E-08,ENSRNOG00000049484,Atp9a,0,,16:7784814-7785368,3.5,6.42E-08,6.20E-07,ENSRNOG00000019656,Btd,0
18:73675227-73675638,4.35,4.45E-09,4.280E-08,ENSRNOG00000017410,Loxhd1,0,,8:35053844-35054307,2.92,6.95E-08,6.69E-07,ENSRNOG00000059871,SNORA17,86672
9:15506909-15507393,2.19,4.9E-09,4.660E-08,ENSRNOG00000015249,RGD1562299,5670,,9:27468919-27469293,3.04,0.000000072,6.89E-07,ENSRNOG00000033402,LOC501110,5980
9:50422140-50422429,4,4.88E-09,4.660E-08,ENSRNOG00000045970,AABR07067508.1,19663,,13:26156783-26157245,2.36,7.99E-08,7.60E-07,ENSRNOG00000002821,Phlpp1,14998
8:64991157-64991709,3.22,5.15E-09,4.870E-08,ENSRNOG00000051221,Rn60_8_0647.2,0,,7:77434191-77434693,2.65,8.48E-08,8.02E-07,ENSRNOG00000005333,Azin1,61794
7:91181054-91181690,3.71,5.21E-09,4.910E-08,ENSRNOG00000004387,Utp23,202497,,1:186554157-186554664,3.23,8.85E-08,8.32E-07,ENSRNOG00000059173,SNORA17,56357
1:116104953-116105470,2.89,5.92E-09,5.540E-08,ENSRNOG00000056228,Atp10a,0,,8:117826163-117826502,3.88,8.96E-08,8.39E-07,ENSRNOG00000020688,Ccdc51,0
10:57369069-57369509,3.13,0.000000006,5.560E-08,ENSRNOG00000005009,Zfp3,16719,,14:42827679-42828348,3.34,9.15E-08,8.48E-07,ENSRNOG00000002318,Limch1,0
1:153588359-153588791,3.31,5.98E-09,5.560E-08,ENSRNOG00000016848,Fzd4,680,,17:32860522-32861079,3.73,9.16E-08,8.48E-07,ENSRNOG00000056220,U2,36740
10:16778289-16778836,3.3,6.41E-09,5.880E-08,ENSRNOG00000003269,Atp6v0e1,0,,7:48650306-48650706,3.2,0.000000093,8.57E-07,ENSRNOG00000061159,AABR07056953.1,3816
2:177970688-177971036,2.38,6.4E-09,5.880E-08,ENSRNOG00000021581,Rapgef2,0,,5:99242292-99242885,2.44,9.43E-08,8.64E-07,ENSRNOG00000037039,RGD1306186,62327
1:165723727-165724325,2.35,6.89E-09,6.290E-08,ENSRNOG00000018873,Fam168a,126,,9:73554344-73554787,2.88,9.52E-08,8.67E-07,ENSRNOG00000028362,LOC689991,0
17:32860522-32861079,3.85,7.34E-09,6.660E-08,ENSRNOG00000056220,U2,36740,,9:43945425-43945806,4.64,0.000000114,1.04E-06,ENSRNOG00000017660,Inpp4a,0
7:125544451-125545061,3.71,7.58E-09,6.850E-08,ENSRNOG00000012475,Prr5,31266,,11:69875318-69875945,3.14,0.000000121,1.09E-06,ENSRNOG00000001706,Kalrn,0
8:47634100-47634657,2.53,7.69E-09,6.910E-08,ENSRNOG00000021771,Trim29,39664,,11:35234508-35234945,3.35,0.000000122,1.10E-06,ENSRNOG00000054899,7SK,76130
1:98210782-98211373,2.46,8.35E-09,7.420E-08,ENSRNOG00000014380,Zfp788,17200,,15:108002423-108002814,3.78,0.000000128,1.14E-06,ENSRNOG00000011969,Dock9,0
8:128699693-128700144,2.41,8.32E-09,7.420E-08,ENSRNOG00000037085,Xirp1,1989,,18:33585232-33585786,2.15,0.000000133,1.18E-06,ENSRNOG00000046325,AABR07031768.1,61322
7:77434191-77434693,3.02,8.74E-09,7.690E-08,ENSRNOG00000005333,Azin1,61794,,14:42667092-42667420,3.18,0.000000135,1.19E-06,ENSRNOG00000051929,Phox2b,46895
10:19998509-19998862,3.01,8.71E-09,7.690E-08,ENSRNOG00000052816,SNORA17,14259,,14:3644023-3644418,2.27,0.000000142,1.24E-06,ENSRNOG00000002093,Tgfbr3,0
20:4329586-4329973,4.02,8.81E-09,7.710E-08,ENSRNOG00000000443,C4a,0,,1:64320125-64320552,2.45,0.000000141,1.24E-06,ENSRNOG00000057852,Cacng6,0
11:69875318-69875945,3.43,8.9E-09,7.750E-08,ENSRNOG00000001706,Kalrn,0,,18:62879618-62880102,2.98,0.000000152,1.33E-06,ENSRNOG00000010440,Gnal,0
14:3644023-3644418,2.65,9.61E-09,8.290E-08,ENSRNOG00000002093,Tgfbr3,0,,6:106609067-106609502,1.98,0.000000154,1.34E-06,ENSRNOG00000008082,Rgs6,6929
6:48391648-48392150,2.61,9.61E-09,8.290E-08,ENSRNOG00000004269,Myt1l,60219,,12:24028221-24028591,3.29,0.000000165,1.42E-06,ENSRNOG00000001442,Por,0
2:29334527-29335055,2.75,1.05E-08,8.980E-08,ENSRNOG00000017249,Zfp366,75524,,7:25264035-25264379,3.28,0.000000166,1.42E-06,ENSRNOG00000008061,Nuak1,150372
3:11770914-11771351,3.06,1.06E-08,9.040E-08,ENSRNOG00000054560,Sh2d3c,0,,6:132222017-132222416,3.55,0.00000019,1.62E-06,ENSRNOG00000028390,Hhipl1,0
14:42827679-42828348,3.66,1.17E-08,9.960E-08,ENSRNOG00000002318,Limch1,0,,1:136692765-136693380,3,0.000000197,1.67E-06,ENSRNOG00000011160,Sv2b,0
2:219610513-219610887,3.77,1.19E-08,1.000E-07,ENSRNOG00000015117,Lrrc39,0,,15:89926165-89926488,3.98,0.000000198,1.67E-06,ENSRNOG00000049068,AABR07019120.1,69296
3:176643996-176644483,2.56,1.21E-08,1.020E-07,ENSRNOG00000011624,Kcnq2,0,,1:177287182-177287472,3.88,0.000000207,1.74E-06,ENSRNOG00000015713,Parva,0
2:141792938-141793504,3.69,1.25E-08,1.050E-07,ENSRNOG00000058636,AABR07010589.1,70334,,3:162579505-162579994,2.18,0.000000208,1.74E-06,ENSRNOG00000019154,Zmynd8,0
1:164508344-164508841,3.48,1.29E-08,1.080E-07,ENSRNOG00000030404,Arrb1,0,,10:37330905-37331274,3.81,0.000000226,1.88E-06,ENSRNOG00000004956,Jade2,19281
1:162412865-162413260,4.81,1.38E-08,1.130E-07,ENSRNOG00000012494,Kctd14,6002,,8:53068785-53069450,2.06,0.000000226,1.88E-06,ENSRNOG00000029980,Zbtb16,0
5:145928969-145929418,2.64,1.37E-08,1.130E-07,ENSRNOG00000048129,LOC682102,94278,,1:128676626-128677120,3.29,0.000000244,2.00E-06,ENSRNOG00000013877,Ttc23,0
10:36245332-36245840,3.14,1.37E-08,1.130E-07,ENSRNOG00000061484,Adamts2,0,,5:152573375-152573696,4.62,0.000000244,2.00E-06,ENSRNOG00000016776,Extl1,62
8:101098424-101098922,2.47,1.44E-08,1.180E-07,ENSRNOG00000057191,AABR07071117.1,346215,,3:165127985-165128566,2.31,0.000000242,2.00E-06,ENSRNOG00000054314,Kcng1,88279
2:240828471-240828797,3.22,1.58E-08,1.290E-07,ENSRNOG00000023258,Nfkb1,0,,5:167008975-167009452,4.91,0.000000251,2.05E-06,ENSRNOG00000017523,H6pd,0
19:58803804-58804183,3.56,1.71E-08,1.390E-07,ENSRNOG00000019937,Kcnk1,19631,,3:124084814-124085592,2.38,0.000000255,2.06E-06,ENSRNOG00000021255,Smox,0
12:12086435-12086804,5.03,1.86E-08,1.500E-07,ENSRNOG00000059403,AABR07035382.1,24822,,7:83605124-83605532,3.27,0.000000259,2.09E-06,ENSRNOG00000004200,Sybu,0
15:42983351-42983768,3.22,2.12E-08,1.710E-07,ENSRNOG00000009449,Trim35,6560,,18:56048579-56049167,2,0.00000027,2.17E-06,ENSRNOG00000018774,Rps14,1264
17:76622523-76622984,3.19,2.17E-08,1.740E-07,ENSRNOG00000017882,Camk1d,0,,17:76789756-76790165,2.74,0.000000274,2.19E-06,ENSRNOG00000017882,Camk1d,0
14:83721080-83721464,3.64,2.19E-08,1.740E-07,ENSRNOG00000025121,Pla2g3,3469,,4:100372820-100373305,3.14,0.000000281,2.23E-06,ENSRNOG00000013605,Sh2d6,791
8:12935548-12935920,4.68,2.23E-08,1.770E-07,ENSRNOG00000024726,Kdm4d,32273,,9:44274909-44275506,3.25,0.000000315,2.50E-06,ENSRNOG00000018366,RGD1310819,37793
2:188683353-188683757,3.58,2.28E-08,1.800E-07,ENSRNOG00000020621,Dcst1,0,,5:144771377-144772015,1.8,0.000000329,2.59E-06,ENSRNOG00000011751,Ncdn,0
3:38797336-38797720,2.29,2.45E-08,1.920E-07,ENSRNOG00000051675,RNaseP_nuc,19543,,4:64570479-64571021,1.51,0.000000333,2.61E-06,ENSRNOG00000026705,Dgki,0
1:128676626-128677120,3.47,2.52E-08,1.970E-07,ENSRNOG00000013877,Ttc23,0,,11:89142121-89142774,3.11,0.00000034,2.65E-06,ENSRNOG00000037851,Spidr,0
2:29356788-29357223,3.47,3.09E-08,2.400E-07,ENSRNOG00000017249,Zfp366,53356,,5:165027733-165028100,3.73,0.000000347,2.70E-06,ENSRNOG00000026447,Ptchd2,24771
10:86268012-86268644,2.13,3.26E-08,2.530E-07,ENSRNOG00000028417,AC142182.1,12248,,5:78296999-78297449,3.5,0.00000036,2.79E-06,ENSRNOG00000014869,Wdr31,8077
6:129808889-129809565,2.09,3.48E-08,2.680E-07,ENSRNOG00000005274,Vrk1,26354,,17:76892116-76892608,3.63,0.000000362,2.79E-06,ENSRNOG00000017882,Camk1d,0
2:140121523-140121952,3.62,3.62E-08,2.780E-07,ENSRNOG00000046865,AABR07010554.1,85746,,10:68863390-68863805,2.15,0.000000375,2.87E-06,ENSRNOG00000006625,Phb-ps1,61620
16:2971545-2972191,2.65,3.79E-08,2.890E-07,ENSRNOG00000014363,Arhgef3,0,,4:84646958-84647512,2.43,0.000000376,2.87E-06,ENSRNOG00000009571,Wipf3,0
5:152041239-152041608,3.09,3.78E-08,2.890E-07,ENSRNOG00000056863,AABR07050116.1,29017,,20:8102687-8103485,1.94,0.000000391,2.97E-06,ENSRNOG00000000508,Armc12,6150
8:67483499-67483877,3.02,3.94E-08,2.990E-07,ENSRNOG00000015257,Coro2b,0,,2:115769112-115769472,3.57,0.000000396,3.00E-06,ENSRNOG00000028097,Slc7a14,0
19:11908536-11909164,2.99,0.00000004,3.020E-07,ENSRNOG00000061917,AABR07042840.1,121759,,16:58956634-58957036,2.97,0.000000413,3.12E-06,ENSRNOG00000058029,SNORA2,16253
20:32199838-32200256,2.09,4.04E-08,3.040E-07,ENSRNOG00000000395,LOC606294,0,,2:103419486-103420033,2.44,0.000000422,3.17E-06,ENSRNOG00000013038,AABR07009572.1,330754
10:55741098-55741690,3.44,0.000000042,3.140E-07,ENSRNOG00000047266,AABR07072133.1,0,,16:16694262-16694767,2.35,0.000000434,3.24E-06,ENSRNOG00000051423,AABR07024790.1,65691
7:124718328-124718721,2.82,4.37E-08,3.260E-07,ENSRNOG00000010834,Mpped1,0,,10:52753880-52754592,1.98,0.000000448,3.33E-06,ENSRNOG00000029012,Shisa6,0
4:180799594-180800107,3.62,0.000000047,3.490E-07,ENSRNOG00000055289,AABR07062513.3,7932,,2:29356788-29357223,3.24,0.00000045,3.34E-06,ENSRNOG00000017249,Zfp366,53356
12:29250225-29250592,4.16,4.83E-08,3.570E-07,ENSRNOG00000024435,Wbscr17,0,,3:176643996-176644483,2.39,0.000000454,3.35E-06,ENSRNOG00000011624,Kcnq2,0
10:55685504-55686193,2.18,4.94E-08,3.630E-07,ENSRNOG00000007387,Per1,857,,18:63236818-63237316,3.28,0.000000459,3.38E-06,ENSRNOG00000025324,Spire1,0
3:162630609-162630966,3.43,5.58E-08,4.090E-07,ENSRNOG00000051007,AABR07054586.1,22806,,1:104618283-104618940,1.9,0.000000463,3.39E-06,ENSRNOG00000014530,Nav2,0
10:68863390-68863805,2.32,5.96E-08,4.350E-07,ENSRNOG00000006625,Phb-ps1,61620,,8:128699693-128700144,1.96,0.000000469,3.41E-06,ENSRNOG00000037085,Xirp1,1989
2:115769112-115769472,3.69,0.000000061,4.440E-07,ENSRNOG00000028097,Slc7a14,0,,3:165428683-165429084,2.92,0.000000469,3.41E-06,ENSRNOG00000049484,Atp9a,0
6:33653825-33654542,1.96,6.18E-08,4.470E-07,ENSRNOG00000021403,Rhob,34585,,3:153291440-153291751,3.33,0.000000488,3.53E-06,ENSRNOG00000006921,Rbl1,0
5:141202909-141203241,3.12,6.38E-08,4.600E-07,ENSRNOG00000016047,Macf1,0,,6:114358941-114359286,4.59,0.000000497,3.58E-06,ENSRNOG00000035293,5S_rRNA,25968
3:11448629-11449023,3.02,6.46E-08,4.640E-07,ENSRNOG00000014338,Slc25a25,0,,6:14701321-14701804,3.26,0.000000504,3.62E-06,ENSRNOG00000056572,AABR07062915.1,95125
7:31864096-31864479,3.87,6.86E-08,4.900E-07,ENSRNOG00000008797,Tmpo,0,,10:96310380-96310870,2.83,0.00000051,3.64E-06,ENSRNOG00000003491,Prkca,0
17:66219403-66219800,3.34,6.91E-08,4.920E-07,ENSRNOG00000017593,Mtr,0,,9:38068691-38069048,3.6,0.000000533,3.79E-06,ENSRNOG00000012207,Dst,0
19:57777953-57778407,1.9,7.07E-08,5.010E-07,ENSRNOG00000049784,Tsnax,0,,9:118097891-118098525,2.52,0.000000554,3.93E-06,ENSRNOG00000054655,7SK,189766
6:14701321-14701804,3.2,7.14E-08,5.040E-07,ENSRNOG00000056572,AABR07062915.1,95125,,3:108794021-108794422,2.62,0.000000567,4.00E-06,ENSRNOG00000005209,Spred1,813
10:37330905-37331274,3.95,7.18E-08,5.050E-07,ENSRNOG00000004956,Jade2,19281,,7:136808126-136808642,1.81,0.000000572,4.02E-06,ENSRNOG00000006235,Nell2,0
5:72885635-72886261,2.11,7.44E-08,5.210E-07,ENSRNOG00000057406,AABR07048321.1,6077,,6:39361477-39361981,3.7,0.00000058,4.06E-06,ENSRNOG00000004084,Fam84a,0
15:2813526-2814050,2.34,0.000000076,5.300E-07,ENSRNOG00000012850,Kat6b,0,,2:235527051-235527466,2.67,0.000000613,4.28E-06,ENSRNOG00000050706,Col25a1,68657
13:109389567-109389907,3.57,7.74E-08,5.340E-07,ENSRNOG00000003767,Rps6kc1,0,,1:49381547-49382054,2.49,0.000000625,4.34E-06,ENSRNOG00000055547,AABR07001519.1,0
5:167008975-167009452,4.62,7.72E-08,5.340E-07,ENSRNOG00000017523,H6pd,0,,1:153588359-153588791,2.92,0.000000699,4.84E-06,ENSRNOG00000016848,Fzd4,680
3:124084814-124085592,2.58,7.75E-08,5.340E-07,ENSRNOG00000021255,Smox,0,,6:28452374-28452749,3.1,0.000000742,5.11E-06,ENSRNOG00000012950,Efr3b,0
8:65031682-65032133,2.66,7.98E-08,5.480E-07,ENSRNOG00000051221,Rn60_8_0647.2,28387,,5:12790418-12790898,3.14,0.000000755,5.18E-06,ENSRNOG00000060950,AABR07046961.1,3198
14:84445866-84446571,3.02,8.53E-08,5.830E-07,ENSRNOG00000006394,Tbc1d10a,833,,9:50422140-50422429,3.35,0.000000787,5.38E-06,ENSRNOG00000045970,AABR07067508.1,19663
6:114358941-114359286,4.85,9.22E-08,6.280E-07,ENSRNOG00000035293,5S_rRNA,25968,,3:34602341-34602781,1.9,0.000000795,5.41E-06,ENSRNOG00000059031,7SK,19685
5:153119341-153119771,3.58,9.66E-08,6.560E-07,ENSRNOG00000056156,Tmem57,3010,,3:38797336-38797720,2.12,0.000000802,5.44E-06,ENSRNOG00000051675,RNaseP_nuc,19543
16:7492011-7492675,2.11,0.000000107,7.230E-07,ENSRNOG00000052391,Sh3bp5,0,,5:140616683-140617073,2.43,0.000000812,5.48E-06,ENSRNOG00000014008,Mfsd2a,25812
11:29757848-29758406,2.21,0.000000112,7.550E-07,ENSRNOG00000027478,Krtap11-1,47000,,3:164597968-164598446,3.05,0.000000816,5.49E-06,ENSRNOG00000060501,AABR07054619.1,27495
3:34602341-34602781,1.99,0.000000114,7.660E-07,ENSRNOG00000059031,7SK,19685,,12:13723164-13723689,2.19,0.000000931,6.24E-06,ENSRNOG00000034254,Actb,4324
3:126206434-126206945,1.79,0.000000115,7.700E-07,ENSRNOG00000053162,AABR07053787.2,25038,,16:7492011-7492675,1.84,0.000000936,6.25E-06,ENSRNOG00000052391,Sh3bp5,0
5:164902127-164902655,2.55,0.00000012,7.930E-07,ENSRNOG00000008619,Agtrap,3708,,20:46453636-46454084,2.76,0.00000094,6.26E-06,ENSRNOG00000000299,Foxo3,0
17:76789756-76790165,2.9,0.000000119,7.930E-07,ENSRNOG00000017882,Camk1d,0,,11:79737733-79738675,2.04,0.000000967,6.41E-06,ENSRNOG00000031669,Lpp,33998
4:84646958-84647512,2.81,0.000000134,8.880E-07,ENSRNOG00000009571,Wipf3,0,,6:99923294-99923708,2.68,0.000000975,6.44E-06,ENSRNOG00000007660,Fntb,0
6:3473478-3473951,2.98,0.000000137,9.020E-07,ENSRNOG00000007172,Map4k3,28960,,4:140486445-140486835,2.7,0.00000106,6.97E-06,ENSRNOG00000007104,Itpr1,0
10:20492629-20493007,1.94,0.00000014,9.200E-07,ENSRNOG00000007377,Slit3,0,,4:118631301-118631729,2.77,0.00000107,7.04E-06,ENSRNOG00000018317,Aak1,23999
6:30125411-30125838,3.44,0.000000142,9.260E-07,ENSRNOG00000046741,Itsn2,0,,4:108237033-108237414,2.53,0.0000011,7.12E-06,ENSRNOG00000006093,LRRTM1,63715
6:112175072-112175460,3.56,0.000000146,9.500E-07,ENSRNOG00000045756,Nrxn3,28219,,1:142469931-142470415,4.72,0.0000011,7.12E-06,ENSRNOG00000011975,Crtc3,0
12:39659848-39660269,3.33,0.000000149,9.690E-07,ENSRNOG00000008673,Arpc3,0,,5:140655064-140655674,2.94,0.0000011,7.12E-06,ENSRNOG00000014008,Mfsd2a,0
14:3607957-3608435,3.7,0.000000167,1.080E-06,ENSRNOG00000002093,Tgfbr3,0,,17:76622523-76622984,2.8,0.0000011,7.12E-06,ENSRNOG00000017882,Camk1d,0
4:89503137-89503715,3.24,0.000000169,1.090E-06,ENSRNOG00000038449,Tigd2,32932,,20:19252493-19252972,3.47,0.00000111,7.12E-06,ENSRNOG00000055467,RNaseP_nuc,60779
8:62753758-62754398,3.04,0.000000171,1.100E-06,ENSRNOG00000007687,Sema7a,7891,,8:129115124-129115573,1.97,0.00000111,7.14E-06,ENSRNOG00000018797,Myrip,0
6:124343771-124344254,3.3,0.000000178,1.140E-06,ENSRNOG00000027300,Ttc7b,0,,16:2971545-2972191,2.39,0.00000119,7.61E-06,ENSRNOG00000014363,Arhgef3,0
11:73312506-73312886,2.15,0.000000201,1.270E-06,ENSRNOG00000001729,Xxylt1,0,,1:165839687-165840278,2.44,0.00000121,7.67E-06,ENSRNOG00000018873,Fam168a,0
6:132222017-132222416,3.61,0.0000002,1.270E-06,ENSRNOG00000028390,Hhipl1,0,,8:101098424-101098922,2.26,0.00000121,7.67E-06,ENSRNOG00000057191,AABR07071117.1,346215
11:89142121-89142774,2.91,0.000000204,1.290E-06,ENSRNOG00000037851,Spidr,0,,1:224868995-224869696,2.59,0.00000124,7.86E-06,ENSRNOG00000018385,Chrm1,12743
5:161806384-161806814,3.23,0.00000023,1.450E-06,ENSRNOG00000033522,Prdm2,0,,2:12313925-12314231,3.13,0.00000128,8.08E-06,ENSRNOG00000049010,AABR07007399.1,1639
8:52775939-52776508,1.96,0.000000235,1.470E-06,ENSRNOG00000027730,Nxpe1,12342,,14:84445866-84446571,2.76,0.00000129,8.10E-06,ENSRNOG00000006394,Tbc1d10a,833
